"地域（2020年基準） コード","地域（2020年基準）","時間軸（年・月） コード","時間軸（年・月）","2020年基準品目 コード","2020年基準品目","/表章項目","指数","前月比・前年比・前年度比【%】","前年同月比【%】"
"00049","北陸地方","2021000606","2021年6月","0002","0002 食料","","99.8","0.3","0.1"
"00049","北陸地方","2021000606","2021年6月","0054","0054 光熱・水道","","101.8","0.7","1.0"
"00049","北陸地方","2020001212","2020年12月","0001","0001 総合","","99.3","-0.2","-1.2"
"00049","北陸地方","2020001212","2020年12月","0002","0002 食料","","99","-0.4","-0.6"
"00049","北陸地方","2020001212","2020年12月","0054","0054 光熱・水道","","97.6","0.0","-5.0"
"00049","北陸地方","2020000606","2020年6月","0001","0001 総合","","100","-0.3","0.2"
"00049","北陸地方","2020000606","2020年6月","0002","0002 食料","","99.7","-0.6","1.5"
"00049","北陸地方","2020000606","2020年6月","0054","0054 光熱・水道","","100.8","-0.1","-1.4"
"00050","東海地方","2025001212","2025年12月","0001","0001 総合","","113.4","-0.3","2.1"
"00050","東海地方","2025001212","2025年12月","0002","0002 食料","","128.2","-0.2","5.4"
"00050","東海地方","2025001212","2025年12月","0054","0054 光熱・水道","","120.2","-0.4","-1.8"
"00050","東海地方","2025000606","2025年6月","0001","0001 総合","","112.2","0.0","3.3"
"00050","東海地方","2025000606","2025年6月","0002","0002 食料","","124.2","0.5","7.6"
"00050","東海地方","2025000606","2025年6月","0054","0054 光熱・水道","","123.7","-0.4","3.7"
"00050","東海地方","2024001212","2024年12月","0001","0001 総合","","111.1","0.5","3.9"
"00050","東海地方","2024001212","2024年12月","0002","0002 食料","","121.6","0.8","6.5"
"00050","東海地方","2024001212","2024年12月","0054","0054 光熱・水道","","122.3","4.2","12.4"
"00050","東海地方","2024000606","2024年6月","0001","0001 総合","","108.6","0.2","3.0"
"00050","東海地方","2024000606","2024年6月","0002","0002 食料","","115.4","-0.3","3.6"
"00050","東海地方","2024000606","2024年6月","0054","0054 光熱・水道","","119.3","3.0","8.7"
"00050","東海地方","2023001212","2023年12月","0001","0001 総合","","106.9","-0.2","2.3"
"00050","東海地方","2023001212","2023年12月","0002","0002 食料","","114.2","-0.6","6.4"
"00050","東海地方","2023001212","2023年12月","0054","0054 光熱・水道","","108.8","0.0","-16.7"
"00050","東海地方","2023000606","2023年6月","0001","0001 総合","","105.4","-0.1","3.3"
"00050","東海地方","2023000606","2023年6月","0002","0002 食料","","111.4","0.3","7.8"
"00050","東海地方","2023000606","2023年6月","0054","0054 光熱・水道","","109.7","-0.9","-6.7"
"00050","東海地方","2022001212","2022年12月","0001","0001 総合","","104.6","0.2","4.4"
"00050","東海地方","2022001212","2022年12月","0002","0002 食料","","107.3","-0.2","6.2"
"00050","東海地方","2022001212","2022年12月","0054","0054 光熱・水道","","130.6","3.9","22.5"
"00050","東海地方","2022000606","2022年6月","0001","0001 総合","","102","0.0","2.4"
"00050","東海地方","2022000606","2022年6月","0002","0002 食料","","103.4","0.2","3.3"
"00050","東海地方","2022000606","2022年6月","0054","0054 光熱・水道","","117.5","0.4","16.7"
"00050","東海地方","2021001212","2021年12月","0001","0001 総合","","100.2","0.0","0.9"
"00050","東海地方","2021001212","2021年12月","0002","0002 食料","","101","0.2","2.2"
"00050","東海地方","2021001212","2021年12月","0054","0054 光熱・水道","","106.6","1.1","11.1"
"00050","東海地方","2021000606","2021年6月","0001","0001 総合","","99.7","0.2","-0.3"
"00050","東海地方","2021000606","2021年6月","0002","0002 食料","","100.1","0.7","0.4"
"00050","東海地方","2021000606","2021年6月","0054","0054 光熱・水道","","100.7","0.5","0.0"
"00050","東海地方","2020001212","2020年12月","0001","0001 総合","","99.3","-0.2","-1.3"
"00050","東海地方","2020001212","2020年12月","0002","0002 食料","","98.9","-0.7","-0.8"
"00050","東海地方","2020001212","2020年12月","0054","0054 光熱・水道","","96","-1.2","-6.7"
"00050","東海地方","2020000606","2020年6月","0001","0001 総合","","99.9","-0.1","-0.3"
"00050","東海地方","2020000606","2020年6月","0002","0002 食料","","99.7","-0.4","1.3"
"00050","東海地方","2020000606","2020年6月","0054","0054 光熱・水道","","100.7","-0.1","-2.4"
"00051","近畿地方","2025001212","2025年12月","0001","0001 総合","","112.8","-0.1","2.2"
"00051","近畿地方","2025001212","2025年12月","0002","0002 食料","","128.7","0.2","5.1"
"00051","近畿地方","2025001212","2025年12月","0054","0054 光熱・水道","","113.7","-0.4","-1.4"
"00051","近畿地方","2025000606","2025年6月","0001","0001 総合","","111.5","-0.1","3.3"
"00051","近畿地方","2025000606","2025年6月","0002","0002 食料","","124.6","0.2","7.0"
"00051","近畿地方","2025000606","2025年6月","0054","0054 光熱・水道","","116.3","-0.6","4.2"
"00051","近畿地方","2024001212","2024年12月","0001","0001 総合","","110.4","0.6","3.7"
"00051","近畿地方","2024001212","2024年12月","0002","0002 食料","","122.5","0.9","5.9"
"00051","近畿地方","2024001212","2024年12月","0054","0054 光熱・水道","","115.3","5.0","14.3"
"00051","近畿地方","2024000606","2024年6月","0001","0001 総合","","107.9","0.1","3.0"
"00051","近畿地方","2024000606","2024年6月","0002","0002 食料","","116.4","-0.4","3.4"
"00051","近畿地方","2024000606","2024年6月","0054","0054 光熱・水道","","111.6","3.6","12.1"
"00051","近畿地方","2023001212","2023年12月","0001","0001 総合","","106.5","-0.1","2.5"
"00051","近畿地方","2023001212","2023年12月","0002","0002 食料","","115.7","-0.4","6.8"
"00051","近畿地方","2023001212","2023年12月","0054","0054 光熱・水道","","100.9","-0.4","-15.5"
"00051","近畿地方","2023000606","2023年6月","0001","0001 総合","","104.7","-0.2","3.2"
"00051","近畿地方","2023000606","2023年6月","0002","0002 食料","","112.7","0.1","8.7"
"00051","近畿地方","2023000606","2023年6月","0054","0054 光熱・水道","","99.6","-1.4","-12.0"
"00051","近畿地方","2022001212","2022年12月","0001","0001 総合","","103.8","0.1","3.9"
"00051","近畿地方","2022001212","2022年12月","0002","0002 食料","","108.3","0.0","7.0"
"00051","近畿地方","2022001212","2022年12月","0054","0054 光熱・水道","","119.3","2.0","11.8"
"00051","近畿地方","2022000606","2022年6月","0001","0001 総合","","101.5","0.0","2.0"
"00051","近畿地方","2022000606","2022年6月","0002","0002 食料","","103.7","0.2","3.8"
"00051","近畿地方","2022000606","2022年6月","0054","0054 光熱・水道","","113.2","0.2","10.7"
"00051","近畿地方","2021001212","2021年12月","0001","0001 総合","","100","0.0","0.7"
"00051","近畿地方","2021001212","2021年12月","0002","0002 食料","","101.2","-0.1","2.5"
"00051","近畿地方","2021001212","2021年12月","0054","0054 光熱・水道","","106.7","0.9","10.6"
"00051","近畿地方","2021000606","2021年6月","0001","0001 総合","","99.5","0.1","-0.5"
"00051","近畿地方","2021000606","2021年6月","0002","0002 食料","","99.9","0.7","0.1"
"00051","近畿地方","2021000606","2021年6月","0054","0054 光熱・水道","","102.3","0.5","2.3"
